trading_point,open,high,low,close,volume
2018-05-17,681.46,685.0,679.14,683.01,193.45
2018-05-17,691.83,691.83,677.98,681.46,2141.69
2018-05-17,698.87,699.26,687.04,691.83,1842.89
2018-05-17,705.0,707.0,691.48,698.87,665.7
2018-05-17,705.1,708.0,703.75,705.0,217.78
2018-05-17,696.61,701.36,696.0,701.0,235.15
2018-05-17,712.86,715.77,710.46,713.09,3187.98
2018-05-17,699.03,701.34,697.63,698.7,1385.25
2018-05-17,698.7,704.49,694.91,696.61,1020.11
2018-05-17,711.0,715.0,705.33,712.86,2958.92
2018-05-17,713.09,718.9,707.11,710.94,981.06
2018-05-17,710.94,713.0,708.3,708.3,96.68
2018-05-17,708.3,712.31,706.3,710.27,757.87
2018-05-17,706.88,714.99,706.56,711.0,564.12
2018-05-17,706.45,707.88,695.01,697.99,4067.88
2018-05-17,697.99,701.29,695.51,698.45,1196.77
2018-05-17,698.45,703.08,697.43,701.62,2371.56
2018-05-17,701.62,702.6,695.07,699.03,2925.43
2018-05-17,710.27,712.15,706.45,706.45,1095.31
2018-05-18,676.69,676.69,666.78,671.99,621.66
2018-05-18,691.57,694.96,690.04,692.54,162.58
2018-05-18,689.32,691.98,687.23,691.57,93.39
2018-05-18,687.02,690.76,686.45,689.32,72.93
2018-05-18,689.29,691.25,685.5,687.02,711.04
2018-05-18,686.93,691.34,684.39,689.29,781.43
2018-05-18,678.79,687.99,676.2,686.93,662.62
2018-05-18,679.06,682.11,676.61,678.79,225.12
2018-05-18,676.0,680.54,670.0,679.06,2739.33
2018-05-18,671.99,680.0,669.26,676.0,1007.06
2018-05-18,680.42,681.54,674.6,676.69,319.49
2018-05-18,665.98,672.54,663.7,669.16,909.64
2018-05-18,682.46,683.99,674.6,682.17,741.54
2018-05-18,661.95,671.13,657.62,665.98,793.09
2018-05-18,669.04,669.04,656.36,661.95,1616.39
2018-05-18,669.16,674.52,669.16,669.24,315.09
2018-05-18,669.24,679.99,669.24,674.19,1640.79
2018-05-18,674.19,678.69,669.71,674.85,2093.9
2018-05-18,682.17,683.31,677.95,680.42,567.56
2018-05-18,667.99,680.99,666.19,677.18,3465.26
2018-05-18,677.18,682.0,675.35,681.99,1920.31
2018-05-18,681.99,682.27,678.57,680.99,373.62
2018-05-18,680.99,684.0,679.32,682.46,589.34
2018-05-18,674.85,675.02,667.0,667.99,579.15
2018-05-19,710.0,716.93,703.54,704.66,1080.56
2018-05-19,690.08,696.02,683.55,691.31,246.29
2018-05-19,699.0,699.53,688.58,690.08,1480.04
2018-05-19,703.44,704.16,699.0,699.0,383.65
2018-05-19,701.74,704.99,700.55,703.44,239.78
2018-05-19,702.62,704.71,700.33,701.74,250.72
2018-05-19,702.41,704.17,700.0,702.62,116.9
2018-05-19,706.53,707.73,700.0,702.41,536.16
2018-05-19,706.14,708.93,703.51,706.53,211.56
2018-05-19,704.66,708.13,704.28,706.14,326.72
2018-05-19,691.31,698.44,689.97,695.88,372.16
2018-05-19,709.19,711.41,706.32,710.0,1358.95
2018-05-19,690.52,696.46,689.64,694.97,403.57
2018-05-19,690.8,692.16,688.88,690.52,171.8
2018-05-19,683.94,690.99,683.94,690.8,415.56
2018-05-19,689.48,689.48,683.0,683.94,509.45
2018-05-19,691.59,693.5,688.1,689.48,143.37
2018-05-19,690.24,691.89,690.0,691.59,127.48
2018-05-19,693.45,696.43,690.0,690.24,131.31
2018-05-19,688.22,696.25,685.8,693.45,829.01
2018-05-19,686.99,690.0,685.06,688.22,534.29
2018-05-19,688.62,690.33,683.2,686.99,220.18
2018-05-19,692.54,696.0,683.78,688.62,462.11
2018-05-19,694.97,710.0,693.7,709.19,1781.68
2018-05-20,709.8,713.99,709.11,712.22,324.17
2018-05-20,712.22,721.57,712.22,719.19,1838.24
2018-05-20,719.19,721.8,716.36,719.71,552.07
2018-05-20,719.71,723.16,719.56,723.16,564.06
2018-05-20,709.0,711.86,708.5,709.8,185.04
2018-05-20,719.23,722.0,717.63,719.11,242.07
2018-05-20,719.11,720.93,717.45,719.0,174.21
2018-05-20,719.0,719.97,710.74,712.94,708.8
2018-05-20,712.94,716.0,711.66,716.0,383.96
2018-05-20,723.16,723.16,715.0,719.23,473.89
2018-05-20,707.21,710.86,707.17,709.0,392.34
2018-05-20,694.99,707.15,694.99,706.1,471.2
2018-05-20,714.62,714.62,709.15,711.0,334.64
2018-05-20,691.57,696.83,689.08,694.99,55.83
2018-05-20,695.88,696.99,687.89,691.57,67.87
2018-05-20,706.1,708.66,701.71,705.0,345.61
2018-05-20,705.0,710.0,701.8,704.09,1049.31
2018-05-20,704.09,706.39,701.16,704.99,276.99
2018-05-20,711.0,714.99,707.1,707.21,436.16
2018-05-20,704.64,709.85,701.85,706.24,66.83
2018-05-20,706.24,711.8,706.16,709.75,434.5
2018-05-20,709.75,713.33,705.17,712.96,665.68
2018-05-20,712.96,716.9,712.56,714.62,496.91
2018-05-20,704.99,706.25,701.96,704.64,253.53
2018-05-21,697.37,701.14,695.88,696.43,941.69
2018-05-21,695.6,697.71,693.99,697.37,128.64
2018-05-21,698.59,698.59,693.99,695.6,467.96
2018-05-21,696.68,699.59,694.0,698.59,408.59
2018-05-21,688.54,697.48,688.54,696.68,293.98
2018-05-21,694.74,694.81,687.8,688.54,626.06
2018-05-21,696.96,696.96,693.53,694.74,371.84
2018-05-21,700.0,700.0,694.03,696.96,824.94
2018-05-21,706.98,706.98,695.14,699.08,1305.47
2018-05-21,707.0,707.73,704.72,706.98,594.56
2018-05-21,699.08,700.0,697.02,700.0,550.82
2018-05-21,716.0,718.12,710.11,712.99,248.99
2018-05-21,707.16,710.0,705.0,709.44,853.4
2018-05-21,712.99,712.99,703.86,707.25,630.17
2018-05-21,707.25,713.0,705.76,710.52,673.87
2018-05-21,710.52,714.0,709.28,710.44,399.92
2018-05-21,710.44,714.9,709.8,713.72,277.39
2018-05-21,709.44,709.93,706.19,707.0,714.61
2018-05-21,713.01,719.12,710.93,716.82,980.9
2018-05-21,716.82,720.0,714.02,715.98,752.75
2018-05-21,715.98,717.08,713.28,715.41,411.11
2018-05-21,715.41,717.02,709.62,710.0,523.72
2018-05-21,710.0,711.99,705.5,707.16,708.67
2018-05-21,713.72,714.0,711.25,713.01,288.05
2018-05-22,683.82,685.67,679.0,680.94,826.52
2018-05-22,680.94,682.0,678.17,678.17,648.97
2018-05-22,678.17,680.92,677.47,678.86,238.6
2018-05-22,678.86,679.76,672.78,674.24,1310.35
2018-05-22,665.8,665.82,653.6,654.36,1123.05
2018-05-22,671.7,672.76,662.58,665.8,1668.45
2018-05-22,654.36,658.52,647.02,648.99,3103.77
2018-05-22,648.99,653.99,637.93,639.68,1942.06
2018-05-22,639.68,647.68,639.41,640.86,2332.85
2018-05-22,674.24,674.67,670.0,671.7,625.62
2018-05-22,679.33,686.39,677.96,683.82,513.06
2018-05-22,682.77,685.05,675.0,679.33,1577.44
2018-05-22,684.98,692.29,684.66,689.5,2137.96
2018-05-22,696.43,699.57,693.85,695.46,274.85
2018-05-22,695.46,695.46,680.96,687.07,1494.07
2018-05-22,687.07,690.9,682.95,688.02,1279.51
2018-05-22,688.02,688.99,680.88,687.98,3015.52
2018-05-22,687.98,688.29,683.53,687.74,745.48
2018-05-22,689.5,690.99,682.77,682.77,479.79
2018-05-22,688.88,697.97,687.4,693.43,1301.1
2018-05-22,693.43,694.95,691.6,694.12,1031.74
2018-05-22,694.12,694.69,690.0,690.0,390.89
2018-05-22,690.0,690.23,681.01,684.98,1269.52
2018-05-22,687.74,689.0,686.23,688.88,898.83
2018-05-23,626.25,626.77,618.97,618.97,827.34
2018-05-23,597.0,597.57,581.28,581.71,1223.73
2018-05-23,587.27,597.0,585.62,597.0,1345.95
2018-05-23,589.79,597.4,581.79,587.27,2926.2
2018-05-23,579.9,595.43,579.9,589.79,1983.81
2018-05-23,570.99,589.23,567.21,579.9,4747.74
2018-05-23,586.73,588.7,564.94,570.99,12375.89
2018-05-23,598.84,599.48,579.49,586.73,8672.67
2018-05-23,616.79,619.95,594.27,598.84,6770.14
2018-05-23,618.97,621.09,614.0,616.79,830.87
2018-05-23,581.71,585.58,569.46,576.84,2772.32
2018-05-23,621.19,628.6,617.44,626.25,707.13
2018-05-23,615.85,627.24,615.83,620.8,1265.14
2018-05-23,615.99,620.66,610.0,615.85,3351.19
2018-05-23,621.45,626.0,611.86,615.99,2815.62
2018-05-23,641.81,641.81,618.47,621.45,1569.24
2018-05-23,638.99,642.54,637.84,641.81,333.47
2018-05-23,634.45,642.0,632.23,638.99,380.56
2018-05-23,640.98,640.98,631.29,634.45,2150.84
2018-05-23,633.98,643.22,632.74,640.98,1613.38
2018-05-23,630.0,636.64,628.0,633.98,1867.72
2018-05-23,637.77,638.0,624.31,630.0,2733.23
2018-05-23,640.86,649.89,637.77,637.77,2888.6
2018-05-23,620.8,624.05,612.0,621.19,1355.53
2018-05-24,585.79,594.0,580.96,594.0,1899.43
2018-05-24,594.0,594.51,577.88,582.25,2675.64
2018-05-24,582.25,587.48,579.2,585.68,927.01
2018-05-24,585.68,595.85,582.84,594.16,1412.19
2018-05-24,581.98,591.54,576.65,585.79,1335.61
2018-05-24,596.9,596.9,586.77,590.99,656.32
2018-05-24,590.99,593.72,584.0,589.0,292.19
2018-05-24,589.0,595.18,583.0,594.07,1405.23
2018-05-24,594.07,604.57,592.51,601.76,1820.6
2018-05-24,594.16,598.0,589.95,596.9,877.88
2018-05-24,582.17,589.86,578.21,581.98,2859.6
2018-05-24,591.49,595.93,588.17,590.14,715.54
2018-05-24,563.77,569.99,562.34,565.14,1193.16
2018-05-24,586.39,598.3,586.39,591.49,1050.7
2018-05-24,576.84,594.34,576.84,586.39,1244.11
2018-05-24,590.14,598.6,587.51,594.39,453.72
2018-05-24,594.39,609.0,594.39,608.73,2296.88
2018-05-24,608.73,609.0,602.45,603.9,1704.67
2018-05-24,565.14,586.74,554.96,582.17,3488.99
2018-05-24,599.7,602.83,589.63,591.0,1059.68
2018-05-24,591.0,591.0,561.98,574.64,4298.45
2018-05-24,574.64,576.99,549.28,564.06,5040.34
2018-05-24,564.06,569.6,559.28,563.77,1880.7
2018-05-24,603.9,604.39,593.45,599.7,2155.62
2018-05-25,572.59,585.0,571.36,584.99,678.77
2018-05-25,582.48,583.6,569.19,572.59,962.64
2018-05-25,582.8,584.33,578.9,582.48,397.01
2018-05-25,581.17,583.99,576.58,582.8,457.1
2018-05-25,581.99,584.17,575.42,581.17,562.13
2018-05-25,585.81,586.67,577.67,581.99,986.14
2018-05-25,594.99,594.99,584.6,585.81,736.6
2018-05-25,599.76,599.76,593.73,594.99,634.05
2018-05-25,600.51,603.28,594.67,596.77,397.48
2018-05-25,604.77,605.86,596.93,600.51,631.45
2018-05-25,597.18,607.7,597.09,604.77,1035.76
2018-05-25,596.77,600.0,590.64,599.76,1148.82
2018-05-25,593.65,598.11,588.0,588.39,2097.19
2018-05-25,601.76,603.34,587.0,596.11,424.5
2018-05-25,588.39,599.1,584.27,597.18,1547.6
2018-05-25,600.45,608.5,596.72,606.26,1389.9
2018-05-25,606.26,611.0,599.22,602.5,1566.6
2018-05-25,602.5,609.66,601.01,606.49,581.19
2018-05-25,596.11,600.45,590.59,600.45,900.06
2018-05-25,612.22,616.18,591.73,595.99,1437.6
2018-05-25,595.99,597.19,586.05,594.52,3011.13
2018-05-25,594.52,597.99,591.02,596.22,655.6
2018-05-25,596.22,598.4,591.52,593.65,450.86
2018-05-25,606.49,613.21,605.81,612.22,203.22
